SellerExternalId,SellerName,SellerEmail,CategoryPath,ProductAsin,ProductTitle,ProductType,Price,Currency,StockQuantity,CustomerExternalId,CustomerFullName,CustomerEmail,OrderExternalId,OrderedAtUtc,OrderStatus,Quantity,ShipmentExternalId,ShipmentStatus,TrackingNumber,DestinationCountry,DestinationCity,DestinationStreet
SEL-001,Seller SEL-001,sel-001@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-001,Nova Laptop 14,Physical,15.49,USD,20,CUS-001,Customer CUS-001,cus-001@mail.local,ORD-0001,2026-01-01T08:00:00.000Z,Created,1,SHP-0001,Preparing,TRK100000,Ukraine,Kyiv,Shevchenka 10
SEL-002,Seller SEL-002,sel-002@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-002,EchoSound Pro Headphones,Digital,46.49,USD,21,CUS-002,Customer CUS-002,cus-002@mail.local,ORD-0001,2026-01-02T09:01:00.000Z,Paid,2,SHP-0001,InTransit,TRK100001,Ukraine,Lviv,Soborna 25
SEL-003,Seller SEL-003,sel-003@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-003,Patterns for Scalable Systems,Physical,77.49,USD,22,CUS-003,Customer CUS-003,cus-003@mail.local,ORD-0002,2026-01-03T10:02:00.000Z,Packed,3,SHP-0002,Delivered,TRK100002,Ukraine,Odesa,Centralna 7
SEL-004,Seller SEL-004,sel-004@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-004,Barista Smart Brewer,Digital,108.49,USD,23,CUS-004,Customer CUS-004,cus-004@mail.local,ORD-0002,2026-01-04T11:03:00.000Z,Shipped,1,SHP-0002,Preparing,TRK100003,Ukraine,Dnipro,Independence 18
SEL-005,Seller SEL-005,sel-005@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-005,Kingdoms of Logic,Physical,139.49,USD,24,CUS-005,Customer CUS-005,cus-005@mail.local,ORD-0003,2026-01-05T12:04:00.000Z,Delivered,2,SHP-0003,InTransit,TRK100004,Ukraine,Kharkiv,Naukova 12
SEL-006,Seller SEL-006,sel-006@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-006,Nova Laptop 14,Physical,20.49,USD,25,CUS-006,Customer CUS-006,cus-006@mail.local,ORD-0003,2026-01-06T13:05:00.000Z,Created,3,SHP-0003,Delivered,TRK100005,Ukraine,Kyiv,Shevchenka 10
SEL-007,Seller SEL-007,sel-007@amazon-demo.local,Electronics>Audio>Headphones,ASIN-002-007,EchoSound Pro Headphones,Digital,51.49,USD,26,CUS-007,Customer CUS-007,cus-007@mail.local,ORD-0004,2026-01-07T14:06:00.000Z,Paid,1,SHP-0004,Preparing,TRK100006,Ukraine,Lviv,Soborna 25
SEL-008,Seller SEL-008,sel-008@amazon-demo.local,Books>Technology>Software Engineering,ASIN-003-008,Patterns for Scalable Systems,Physical,82.49,USD,27,CUS-008,Customer CUS-008,cus-008@mail.local,ORD-0004,2026-01-08T15:07:00.000Z,Packed,2,SHP-0004,InTransit,TRK100007,Ukraine,Odesa,Centralna 7
SEL-009,Seller SEL-009,sel-009@amazon-demo.local,Home & Kitchen>Appliances>Coffee Machines,ASIN-004-009,Barista Smart Brewer,Digital,113.49,USD,28,CUS-009,Customer CUS-009,cus-009@mail.local,ORD-0005,2026-01-09T16:08:00.000Z,Shipped,3,SHP-0005,Delivered,TRK100008,Ukraine,Dnipro,Independence 18
SEL-010,Seller SEL-010,sel-010@amazon-demo.local,Toys & Games>Board Games>Strategy,ASIN-005-010,Kingdoms of Logic,Physical,144.49,USD,29,CUS-010,Customer CUS-010,cus-010@mail.local,ORD-0005,2026-01-10T17:09:00.000Z,Delivered,1,SHP-0005,Preparing,TRK100009,Ukraine,Kharkiv,Naukova 12
SEL-011,Seller SEL-011,sel-011@amazon-demo.local,Electronics>Computers>Laptops,ASIN-001-011,Nova Laptop 14,Physical,25.49,USD,30,CUS-011,Customer CUS-011,cus-011@mail.local,ORD-0006,2026-01-11T18:10:00.000Z,Created,2,SHP-0006,InTransit,TRK100010,Ukraine,Kyiv,Shevchenka 10
